,city,city_seo_name,citypart,citypart_seo_name,country,country_id,country_seo_name,district,district_id,district_seo_name,entity_type,geohash,gps_lat,gps_lon,housenumber,inaccuracy_type,municipality,municipality_id,municipality_seo_name,quarter,quarter_id,quarter_seo_name,region,region_id,region_seo_name,street,street_id,street_seo_name,streetnumber,ward,ward_id,ward_seo_name
343,Praha,praha,Košíře,kosire,Česká republika,112,ceska-republika,Praha 5,5005,praha-5,address,u2fhyfxcw1,50.067707,14.370033,85,gps,,3468,,Praha 5,97,praha-5,Hlavní město Praha,10,hlavni-mesto-praha,Musílkova,120600,musilkova,28,,13688,
344,Praha,praha,Uhříněves,uhrineves,Česká republika,112,ceska-republika,Praha 10,5010,praha-10,address,u2fkeup1ch,50.0320625,14.5885183333,1471,address,,3468,,Praha 22,80,praha-22,Hlavní město Praha,10,hlavni-mesto-praha,Sušilova,152416,susilova,21,,11676,
345,Praha,praha,Uhříněves,uhrineves,Česká republika,112,ceska-republika,Praha 10,5010,praha-10,address,u2fkeup1ch,50.0320625,14.5885183333,1471,address,,3468,,Praha 22,80,praha-22,Hlavní město Praha,10,hlavni-mesto-praha,Sušilova,152416,susilova,21,,11676,
346,Praha,praha,Strašnice,strasnice,Česká republika,112,ceska-republika,Praha 10,5010,praha-10,address,u2fkf4b4rt,50.069235,14.502278,,street,,3468,,Praha 10,132,praha-10,Hlavní město Praha,10,hlavni-mesto-praha,Pod strání,121462,pod-strani,,,14963,
347,Praha,praha,Žižkov,zizkov,Česká republika,112,ceska-republika,Praha 3,5003,praha-3,address,u2fkcz6khy,50.09426,14.494264,2142,gps,,3468,,Praha 3,89,praha-3,Hlavní město Praha,10,hlavni-mesto-praha,U kněžské louky,122261,u-knezske-louky,22,,14971,
348,Praha,praha,Záběhlice,zabehlice,Česká republika,112,ceska-republika,Praha 10,5010,praha-10,address,u2fkc8nf16,50.054067,14.489308,3262,gps,,3468,,Praha 10,132,praha-10,Hlavní město Praha,10,hlavni-mesto-praha,Záběhlická,122837,zabehlicka,88a,,14970,
349,Praha,praha,Hlubočepy,hlubocepy,Česká republika,112,ceska-republika,Praha 5,5005,praha-5,address,u2fhxeb5s6,50.0309775788561,14.3922728067197,,street,,3468,,Praha 5,97,praha-5,Hlavní město Praha,10,hlavni-mesto-praha,Kříženeckého náměstí,120297,krizeneckeho-namesti,,,13685,
350,Praha,praha,Nové Město,nove-mesto,Česká republika,112,ceska-republika,Praha 2,5002,praha-2,address,u2fkbk193v,50.075927906356334,14.427186258511558,1637,address,,3468,,Praha 2,88,praha-2,Hlavní město Praha,10,hlavni-mesto-praha,V tůních,122600,v-tunich,3,,14959,
351,Praha,praha,Nové Město,nove-mesto,Česká republika,112,ceska-republika,Praha 2,5002,praha-2,address,u2fkbk193v,50.075927906356334,14.427186258511558,1637,address,,3468,,Praha 2,88,praha-2,Hlavní město Praha,10,hlavni-mesto-praha,V tůních,122600,v-tunich,3,,14959,
352,Praha,praha,Vinohrady,vinohrady,Česká republika,112,ceska-republika,Praha 2,5002,praha-2,address,u2fkbe2rrt,50.0728402,14.4367107,2571,gps,,3468,,Praha 2,88,praha-2,Hlavní město Praha,10,hlavni-mesto-praha,Belgická,119265,belgicka,22a,,14967,
353,Praha,praha,Nové Město,nove-mesto,Česká republika,112,ceska-republika,Praha 1,5001,praha-1,address,u2fkbhd5js,50.07896785544,14.4170518939918,,street,,3468,,Praha 1,87,praha-1,Hlavní město Praha,10,hlavni-mesto-praha,Křemencova,120290,kremencova,,,14959,
354,Praha,praha,Karlín,karlin,Česká republika,112,ceska-republika,Praha 8,5008,praha-8,address,u2fkbyezfm,50.0907755019484,14.4522740730505,,street,,3468,,Praha 8,115,praha-8,Hlavní město Praha,10,hlavni-mesto-praha,Pernerova,121306,pernerova,,,13707,
355,Praha,praha,Stodůlky,stodulky,Česká republika,112,ceska-republika,Praha 5,5005,praha-5,address,u2fhwm68mn,50.03868092604015,14.340809626478507,2203,address,,3468,,Praha 13,98,praha-13,Hlavní město Praha,10,hlavni-mesto-praha,Borovanského,125196,borovanskeho,12,,14962,
356,Praha,praha,Stodůlky,stodulky,Česká republika,112,ceska-republika,Praha 5,5005,praha-5,address,u2fhwrxvmp,50.05190584450722,14.348021367490214,2268,address,,3468,,Praha 13,98,praha-13,Hlavní město Praha,10,hlavni-mesto-praha,Nušlova,125219,nuslova,1,,14962,
357,Praha,praha,Dejvice,dejvice,Česká republika,112,ceska-republika,Praha 6,5006,praha-6,address,u2fjp1q8p2,50.104525,14.379359,1383,gps,,3468,,Praha 6,107,praha-6,Hlavní město Praha,10,hlavni-mesto-praha,Na Hanspaulce,120667,na-hanspaulce,3,,13698,
358,Praha,praha,Hlubočepy,hlubocepy,Česká republika,112,ceska-republika,Praha 5,5005,praha-5,address,u2fhx5bv4q,50.0312559309049,14.3712472728612,964,address,,3468,,Praha 5,97,praha-5,Hlavní město Praha,10,hlavni-mesto-praha,Peškova,125579,peskova,4,,13685,
359,Praha,praha,Záběhlice,zabehlice,Česká republika,112,ceska-republika,Praha 10,5010,praha-10,address,u2fkcb2ugv,50.0559316845417,14.4921662727844,3279,address,,3468,,Praha 10,132,praha-10,Hlavní město Praha,10,hlavni-mesto-praha,Na Slatince,152665,na-slatince,3,,14970,
360,Praha,praha,,,Česká republika,112,ceska-republika,Praha 4,5004,praha-4,quarter,u2fkb3q8hf,50.060591,14.434184,,gps,,3468,,,-1,,Hlavní město Praha,10,hlavni-mesto-praha,,-1,,,,-1,
361,Praha,praha,Vysočany,vysocany,Česká republika,112,ceska-republika,Praha 9,5009,praha-9,address,u2fm18mmsc,50.099981,14.487402,502,gps,,3468,,Praha 9,119,praha-9,Hlavní město Praha,10,hlavni-mesto-praha,Novovysočanská,121190,novovysocanska,14,,14969,
362,Praha,praha,Vršovice,vrsovice,Česká republika,112,ceska-republika,Praha 10,5010,praha-10,address,u2fkbfspfg,50.0687931,14.4526417,1013,gps,,3468,,Praha 10,132,praha-10,Hlavní město Praha,10,hlavni-mesto-praha,Vršovické náměstí,122757,vrsovicke-namesti,3,,14968,
363,Praha,praha,Strašnice,strasnice,Česká republika,112,ceska-republika,Praha 10,5010,praha-10,address,u2fkcej8cd,50.0703299701809,14.4876043893977,3317,address,,3468,,Praha 10,132,praha-10,Hlavní město Praha,10,hlavni-mesto-praha,Na hroudě,120679,na-hroude,28,,14963,
364,Praha,praha,Holešovice,holesovice,Česká republika,112,ceska-republika,Praha 7,5007,praha-7,address,u2fm0f77w8,50.110617,14.451769,1582,gps,,3468,,Praha 7,113,praha-7,Hlavní město Praha,10,hlavni-mesto-praha,Varhulíkové,124859,varhulikove,24,,14951,
365,Praha,praha,Nové Město,nove-mesto,Česká republika,112,ceska-republika,Praha 2,5002,praha-2,address,u2fkb59u8f,50.0737220661,14.4165029823,1543,gps,,3468,,Praha 2,88,praha-2,Hlavní město Praha,10,hlavni-mesto-praha,Dittrichova,119487,dittrichova,2,,14959,
366,Praha,praha,Zličín,zlicin,Česká republika,112,ceska-republika,Praha 5,5005,praha-5,address,u2fhv08y1e,50.0575063035042,14.2833241113448,,street,,3468,,Praha-Zličín,106,praha-zlicin,Hlavní město Praha,10,hlavni-mesto-praha,Míšovická,153791,misovicka,,,13691,
367,Praha,praha,Čakovice,cakovice,Česká republika,112,ceska-republika,Praha 9,5009,praha-9,address,u2fm66v433,50.157102477,14.5198666846,920,gps,,3468,,Praha-Čakovice,122,praha-cakovice,Hlavní město Praha,10,hlavni-mesto-praha,Hakenova,151389,hakenova,3,,13712,
